id,geo_code,macro_region,region,province,municipality,municipal_district,section,neighborhood,sub_neighborhood,name
19342,03100101010000000,03,10,01,01,01,00,000,00,"Santo Domingo de Guzmán"
9949,02050201010000000,02,05,02,01,01,00,000,00,Azua
10003,02050201020000000,02,05,02,01,02,00,000,00,"Barro Arriba (DM)"
10024,02050201030000000,02,05,02,01,03,00,000,00,"Las Barías-La Estancia (DM)"
10036,02050201040000000,02,05,02,01,04,00,000,00,"Los Jovillos  (DM)"
10056,02050201050000000,02,05,02,01,05,00,000,00,"Puerto Viejo (DM)"
10065,02050201060000000,02,05,02,01,06,00,000,00,"Barreras  (DM)"
10073,02050201070000000,02,05,02,01,07,00,000,00,"Doña Emma Balaguer Viuda Vallejo (DM)"
10079,02050201080000000,02,05,02,01,08,00,000,00,"Clavellina (DM)"
10092,02050201090000000,02,05,02,01,09,00,000,00,"Las Lomas (DM)"
9165,02050202010000000,02,05,02,02,01,00,000,00,"Las Charcas"
9204,02050202020000000,02,05,02,02,02,00,000,00,"Palmar de Ocoa (DM)"
9219,02050203010000000,02,05,02,03,01,00,000,00,"Las Yayas de Viajama"
9245,02050203020000000,02,05,02,03,02,00,000,00,"Villarpando (DM)"
9263,02050203030000000,02,05,02,03,03,00,000,00,"Hato Nuevo Cortés (DM)"
9279,02050204010000000,02,05,02,04,01,00,000,00,"Padre Las Casas"
9304,02050204020000000,02,05,02,04,02,00,000,00,"Las Lagunas (DM)"
9348,02050204030000000,02,05,02,04,03,00,000,00,"La Siembra (DM)"
9363,02050204040000000,02,05,02,04,04,00,000,00,"Monte Bonito (DM)"
9404,02050204050000000,02,05,02,04,05,00,000,00,"Los Fríos (DM)"
9430,02050205010000000,02,05,02,05,01,00,000,00,Peralta
9471,02050206010000000,02,05,02,06,01,00,000,00,"Sabana Yegua"
9487,02050206020000000,02,05,02,06,02,00,000,00,"Proyecto 4 (DM)"
9493,02050206030000000,02,05,02,06,03,00,000,00,"Ganadero (DM)"
9503,02050206040000000,02,05,02,06,04,00,000,00,"Proyecto 2-C (DM)"
9513,02050207010000000,02,05,02,07,01,00,000,00,"Pueblo Viejo"
14332,02050207020000000,02,05,02,07,02,00,000,00,"El Rosario (DM)"
14344,02050208010000000,02,05,02,08,01,00,000,00,"Tábara Arriba"
14359,02050208020000000,02,05,02,08,02,00,000,00,"Tábara Abajo (DM)"
14373,02050208030000000,02,05,02,08,03,00,000,00,"Amiama Gómez (DM)"
14379,02050208040000000,02,05,02,08,04,00,000,00,"Los Toros (DM)"
14393,02050209010000000,02,05,02,09,01,00,000,00,Guayabal
14427,02050210010000000,02,05,02,10,01,00,000,00,Estebanía
15202,02060301010000000,02,06,03,01,01,00,000,00,Neiba
15304,02060301020000000,02,06,03,01,02,00,000,00,"El Palmar  (DM)"
15324,02060302010000000,02,06,03,02,01,00,000,00,Galván
15366,02060302020000000,02,06,03,02,02,00,000,00,"El Salado (DM)"
15382,02060303010000000,02,06,03,03,01,00,000,00,Tamayo
15406,02060303020000000,02,06,03,03,02,00,000,00,"Uvilla (DM)"
15419,02060303030000000,02,06,03,03,03,00,000,00,"Santana (DM)"
15438,02060303040000000,02,06,03,03,04,00,000,00,"Monserrate o Montserrat (DM)"
15449,02060303050000000,02,06,03,03,05,00,000,00,"Cabeza de Toro (DM)"
15459,02060303060000000,02,06,03,03,06,00,000,00,"Mena (DM)"
15471,02060303070000000,02,06,03,03,07,00,000,00,"Santa Bárbara El 6 (DM)"
15486,02060304010000000,02,06,03,04,01,00,000,00,"Villa Jaragua"
15559,02060305010000000,02,06,03,05,01,00,000,00,"Los Ríos"
15590,02060305020000000,02,06,03,05,02,00,000,00,"Las Clavellinas (DM)"
15604,02060401010000000,02,06,04,01,01,00,000,00,Barahona
15684,02060401020000000,02,06,04,01,02,00,000,00,"El Cachón (DM)"
15704,02060401030000000,02,06,04,01,03,00,000,00,"La Guázara (DM)"
15730,02060401040000000,02,06,04,01,04,00,000,00,"Villa Central (DM)"
11348,02060402010000000,02,06,04,02,01,00,000,00,Cabral
11387,02060403010000000,02,06,04,03,01,00,000,00,Enriquillo
11425,02060403020000000,02,06,04,03,02,00,000,00,"Arroyo Dulce (DM)"
11457,02060404010000000,02,06,04,04,01,00,000,00,Paraíso
11501,02060404020000000,02,06,04,04,02,00,000,00,"Los Patos (DM)"
11520,02060405010000000,02,06,04,05,01,00,000,00,"Vicente Noble"
11551,02060405020000000,02,06,04,05,02,00,000,00,"Canoa (DM)"
11567,02060405030000000,02,06,04,05,03,00,000,00,"Quita Coraza (DM)"
11588,02060405040000000,02,06,04,05,04,00,000,00,"Fondo Negro (DM)"
11616,02060406010000000,02,06,04,06,01,00,000,00,"El Peñón"
11656,02060407010000000,02,06,04,07,01,00,000,00,"La Ciénaga"
11691,02060407020000000,02,06,04,07,02,00,000,00,"Baoruco (DM)"
11733,02060408010000000,02,06,04,08,01,00,000,00,Fundación
11758,02060408020000000,02,06,04,08,02,00,000,00,"Pescadería (DM)"
11788,02060409010000000,02,06,04,09,01,00,000,00,"Las Salinas"
11820,02060410010000000,02,06,04,10,01,00,000,00,Polo
11873,02060411010000000,02,06,04,11,01,00,000,00,Jaquimeyes
11896,02060411020000000,02,06,04,11,02,00,000,00,"Palo Alto (DM)"
8605,01040501010000000,01,04,05,01,01,00,000,00,Dajabón
8679,01040501020000000,01,04,05,01,02,00,000,00,"Cañongo (DM)"
8690,01040502010000000,01,04,05,02,01,00,000,00,"Loma de Cabrera"
8751,01040502020000000,01,04,05,02,02,00,000,00,"Capotillo (DM)"
8772,01040502030000000,01,04,05,02,03,00,000,00,"Santiago de La Cruz (DM)"
8795,01040503010000000,01,04,05,03,01,00,000,00,Partido
8828,01040504010000000,01,04,05,04,01,00,000,00,Restauración
8879,01040505010000000,01,04,05,05,01,00,000,00,"El Pino"
8909,01040505020000000,01,04,05,05,02,00,000,00,"Manuel Bueno (DM)"
7544,01030601010000000,01,03,06,01,01,00,000,00,"San Francisco de Macorís"
3107,01030601020000000,01,03,06,01,02,00,000,00,"La Peña (DM)"
3217,01030601030000000,01,03,06,01,03,00,000,00,"Cenoví (DM)"
3272,01030601040000000,01,03,06,01,04,00,000,00,"Jaya (DM)"
3334,01030601050000000,01,03,06,01,05,00,000,00,"Presidente Don Antonio Guzmán Fernández (DM)"
3352,01030602010000000,01,03,06,02,01,00,000,00,Arenoso
3371,01030602020000000,01,03,06,02,02,00,000,00,"Las Coles (DM)"
3396,01030602030000000,01,03,06,02,03,00,000,00,"El Aguacate (DM)"
3421,01030603010000000,01,03,06,03,01,00,000,00,Castillo
3492,01030604010000000,01,03,06,04,01,00,000,00,Pimentel
3540,01030605010000000,01,03,06,05,01,00,000,00,"Villa Riva"
3582,01030605020000000,01,03,06,05,02,00,000,00,"Agua Santa del Yuna  (DM)"
7760,01030605030000000,01,03,06,05,03,00,000,00,"Cristo Rey de Guaraguao (DM)"
7783,01030605040000000,01,03,06,05,04,00,000,00,"Las Taranas (DM)"
7816,01030605050000000,01,03,06,05,05,00,000,00,"Barraquito (DM)"
7838,01030606010000000,01,03,06,06,01,00,000,00,"Las Guáranas"
7877,01030607010000000,01,03,06,07,01,00,000,00,"Eugenio María de Hostos"
7906,01030607020000000,01,03,06,07,02,00,000,00,"Sabana Grande (DM)"
16135,02070701010000000,02,07,07,01,01,00,000,00,Comendador
16211,02070701020000000,02,07,07,01,02,00,000,00,"Sabana Larga (DM)"
16244,02070701030000000,02,07,07,01,03,00,000,00,"Guayabo (DM)"
16268,02070702010000000,02,07,07,02,01,00,000,00,Bánica
16293,02070702020000000,02,07,07,02,02,00,000,00,"Sabana Cruz (DM)"
16319,02070702030000000,02,07,07,02,03,00,000,00,"Sabana Higüero (DM)"
11939,02070703010000000,02,07,07,03,01,00,000,00,"El Llano"
11957,02070703020000000,02,07,07,03,02,00,000,00,"Guanito (DM)"
11987,02070704010000000,02,07,07,04,01,00,000,00,"Hondo Valle"
12045,02070704020000000,02,07,07,04,02,00,000,00,"Rancho de La Guardia (DM)"
12070,02070705010000000,02,07,07,05,01,00,000,00,"Pedro Santana"
12126,02070705020000000,02,07,07,05,02,00,000,00,"Río Limpio (DM)"
12168,02070706010000000,02,07,07,06,01,00,000,00,"Juan Santiago"
12669,03080801010000000,03,08,08,01,01,00,000,00,"El Seibo"
12889,03080801020000000,03,08,08,01,02,00,000,00,"Pedro Sánchez (DM)"
12944,03080801030000000,03,08,08,01,03,00,000,00,"San Francisco-Vicentillo (DM)"
12986,03080801040000000,03,08,08,01,04,00,000,00,"Santa Lucía (DM)"
13044,03080802010000000,03,08,08,02,01,00,000,00,Miches
13096,03080802020000000,03,08,08,02,02,00,000,00,"El Cedro (DM)"
16948,03080802030000000,03,08,08,02,03,00,000,00,"La Gina (DM)"
5,01010901010000000,01,01,09,01,01,00,000,00,Moca
211,01010901020000000,01,01,09,01,02,00,000,00,"José Contreras (DM)"
242,01010901040000000,01,01,09,01,04,00,000,00,"Juan López (DM)"
267,01010901050000000,01,01,09,01,05,00,000,00,"Las Lagunas (DM)"
296,01010901060000000,01,01,09,01,06,00,000,00,"Canca la Reyna (DM)"
316,01010901070000000,01,01,09,01,07,00,000,00,"El Higüerito (DM)"
343,01010901080000000,01,01,09,01,08,00,000,00,"Monte de la Jagua (DM)"
370,01010901090000000,01,01,09,01,09,00,000,00,"La Ortega (DM)"
384,01010902010000000,01,01,09,02,01,00,000,00,"Cayetano Germosén"
420,01010903010000000,01,01,09,03,01,00,000,00,"Gaspar Hernández"
480,01010903020000000,01,01,09,03,02,00,000,00,"Joba Arriba (DM)"
525,01010903030000000,01,01,09,03,03,00,000,00,"Veragua (DM)"
550,01010903040000000,01,01,09,03,04,00,000,00,"Villa Magante (DM)"
583,01010904010000000,01,01,09,04,01,00,000,00,"Jamao Al Norte"
4831,01010905010000000,01,01,09,05,01,00,000,00,"San Víctor "
11909,02061001010000000,02,06,10,01,01,00,000,00,Jimaní
15753,02061001020000000,02,06,10,01,02,00,000,00,"El Limón (DM)"
15785,02061001030000000,02,06,10,01,03,00,000,00,"Boca de Cachón (DM)"
15797,02061002010000000,02,06,10,02,01,00,000,00,Duvergé
15824,02061002020000000,02,06,10,02,02,00,000,00,"Vengan a Ver (DM)"
15843,02061003010000000,02,06,10,03,01,00,000,00,"La Descubierta"
15884,02061004010000000,02,06,10,04,01,00,000,00,"Postrer Río"
15913,02061004020000000,02,06,10,04,02,00,000,00,"Guayabal (DM)"
15939,02061005010000000,02,06,10,05,01,00,000,00,Cristóbal
15949,02061005020000000,02,06,10,05,02,00,000,00,"Batey 8 (DM)"
15964,02061006010000000,02,06,10,06,01,00,000,00,Mella
15984,02061006020000000,02,06,10,06,02,00,000,00,"La Colonia (DM)"
16972,03081101010000000,03,08,11,01,01,00,000,00,Higüey
17270,03081101020000000,03,08,11,01,02,00,000,00,"Las Lagunas de Nisibón (DM)"
17342,03081101030000000,03,08,11,01,03,00,000,00,"La Otra Banda (DM)"
17409,03081101040000000,03,08,11,01,04,00,000,00,"Verón Punta Cana (DM)"
17501,03081102010000000,03,08,11,02,01,00,000,00,"San Rafael del Yuma"
13170,03081102020000000,03,08,11,02,02,00,000,00,"Boca de Yuma (DM)"
13191,03081102030000000,03,08,11,02,03,00,000,00,"Bayahíbe (DM)"
13215,03081201010000000,03,08,12,01,01,00,000,00,"La Romana"
13335,03081201020000000,03,08,12,01,02,00,000,00,"Caleta (DM)"
13348,03081202010000000,03,08,12,02,01,00,000,00,Guaymate
13429,03081203010000000,03,08,12,03,01,00,000,00,"Villa Hermosa"
13480,03081203020000000,03,08,12,03,02,00,000,00,"Cumayasa (DM)"
1817,01021301010000000,01,02,13,01,01,00,000,00,"La Vega"
2120,01021301020000000,01,02,13,01,02,00,000,00,"Río Verde Arriba (DM)"
2183,01021301030000000,01,02,13,01,03,00,000,00,"El Ranchito (DM)"
2220,01021301040000000,01,02,13,01,04,00,000,00,"Tavera (DM)"
2288,01021301050000000,01,02,13,01,05,00,000,00,"Don Juan Rodriguez (DM)"
2327,01021302010000000,01,02,13,02,01,00,000,00,Constanza
6601,01021302020000000,01,02,13,02,02,00,000,00,"Tireo (DM)"
6674,01021302030000000,01,02,13,02,03,00,000,00,"La Sabina (DM)"
6712,01021303010000000,01,02,13,03,01,00,000,00,Jarabacoa
6880,01021303020000000,01,02,13,03,02,00,000,00,"Buena Vista (DM)"
6929,01021303030000000,01,02,13,03,03,00,000,00,"Manabao (DM)"
