id,geo_code,macro_region,region,province,municipality,municipal_district,section,neighborhood,sub_neighborhood,name
19341,03100101000000000,03,10,01,01,00,00,000,00,"Santo Domingo de Guzmán"
9948,02050201000000000,02,05,02,01,00,00,000,00,Azua
9164,02050202000000000,02,05,02,02,00,00,000,00,"Las Charcas"
9218,02050203000000000,02,05,02,03,00,00,000,00,"Las Yayas de Viajama"
9278,02050204000000000,02,05,02,04,00,00,000,00,"Padre Las Casas"
9429,02050205000000000,02,05,02,05,00,00,000,00,Peralta
9470,02050206000000000,02,05,02,06,00,00,000,00,"Sabana Yegua"
9512,02050207000000000,02,05,02,07,00,00,000,00,"Pueblo Viejo"
14343,02050208000000000,02,05,02,08,00,00,000,00,"Tábara Arriba"
14392,02050209000000000,02,05,02,09,00,00,000,00,Guayabal
14426,02050210000000000,02,05,02,10,00,00,000,00,Estebanía
15201,02060301000000000,02,06,03,01,00,00,000,00,Neiba
15323,02060302000000000,02,06,03,02,00,00,000,00,Galván
15381,02060303000000000,02,06,03,03,00,00,000,00,Tamayo
15485,02060304000000000,02,06,03,04,00,00,000,00,"Villa Jaragua"
15558,02060305000000000,02,06,03,05,00,00,000,00,"Los Ríos"
15603,02060401000000000,02,06,04,01,00,00,000,00,Barahona
11347,02060402000000000,02,06,04,02,00,00,000,00,Cabral
11386,02060403000000000,02,06,04,03,00,00,000,00,Enriquillo
11456,02060404000000000,02,06,04,04,00,00,000,00,Paraíso
11519,02060405000000000,02,06,04,05,00,00,000,00,"Vicente Noble"
11615,02060406000000000,02,06,04,06,00,00,000,00,"El Peñón"
11655,02060407000000000,02,06,04,07,00,00,000,00,"La Ciénaga"
11732,02060408000000000,02,06,04,08,00,00,000,00,Fundación
11787,02060409000000000,02,06,04,09,00,00,000,00,"Las Salinas"
11819,02060410000000000,02,06,04,10,00,00,000,00,Polo
11872,02060411000000000,02,06,04,11,00,00,000,00,Jaquimeyes
8604,01040501000000000,01,04,05,01,00,00,000,00,Dajabón
8689,01040502000000000,01,04,05,02,00,00,000,00,"Loma de Cabrera"
8794,01040503000000000,01,04,05,03,00,00,000,00,Partido
8827,01040504000000000,01,04,05,04,00,00,000,00,Restauración
8878,01040505000000000,01,04,05,05,00,00,000,00,"El Pino"
7543,01030601000000000,01,03,06,01,00,00,000,00,"San Francisco de Macorís"
3351,01030602000000000,01,03,06,02,00,00,000,00,Arenoso
3420,01030603000000000,01,03,06,03,00,00,000,00,Castillo
3491,01030604000000000,01,03,06,04,00,00,000,00,Pimentel
3539,01030605000000000,01,03,06,05,00,00,000,00,"Villa Riva"
7837,01030606000000000,01,03,06,06,00,00,000,00,"Las Guáranas"
7876,01030607000000000,01,03,06,07,00,00,000,00,"Eugenio María de Hostos"
16134,02070701000000000,02,07,07,01,00,00,000,00,Comendador
16267,02070702000000000,02,07,07,02,00,00,000,00,Bánica
11938,02070703000000000,02,07,07,03,00,00,000,00,"El Llano"
11986,02070704000000000,02,07,07,04,00,00,000,00,"Hondo Valle"
12069,02070705000000000,02,07,07,05,00,00,000,00,"Pedro Santana"
12167,02070706000000000,02,07,07,06,00,00,000,00,"Juan Santiago"
12668,03080801000000000,03,08,08,01,00,00,000,00,"El Seibo"
13043,03080802000000000,03,08,08,02,00,00,000,00,Miches
4,01010901000000000,01,01,09,01,00,00,000,00,Moca
383,01010902000000000,01,01,09,02,00,00,000,00,"Cayetano Germosén"
419,01010903000000000,01,01,09,03,00,00,000,00,"Gaspar Hernández"
582,01010904000000000,01,01,09,04,00,00,000,00,"Jamao Al Norte"
4830,01010905000000000,01,01,09,05,00,00,000,00,"San Víctor "
11908,02061001000000000,02,06,10,01,00,00,000,00,Jimaní
15796,02061002000000000,02,06,10,02,00,00,000,00,Duvergé
15842,02061003000000000,02,06,10,03,00,00,000,00,"La Descubierta"
15883,02061004000000000,02,06,10,04,00,00,000,00,"Postrer Río"
15938,02061005000000000,02,06,10,05,00,00,000,00,Cristóbal
15963,02061006000000000,02,06,10,06,00,00,000,00,Mella
16971,03081101000000000,03,08,11,01,00,00,000,00,Higüey
17500,03081102000000000,03,08,11,02,00,00,000,00,"San Rafael del Yuma"
13214,03081201000000000,03,08,12,01,00,00,000,00,"La Romana"
13347,03081202000000000,03,08,12,02,00,00,000,00,Guaymate
13428,03081203000000000,03,08,12,03,00,00,000,00,"Villa Hermosa"
1816,01021301000000000,01,02,13,01,00,00,000,00,"La Vega"
2326,01021302000000000,01,02,13,02,00,00,000,00,Constanza
6711,01021303000000000,01,02,13,03,00,00,000,00,Jarabacoa
6970,01021304000000000,01,02,13,04,00,00,000,00,"Jima Abajo"
7920,01031401000000000,01,03,14,01,00,00,000,00,Nagua
8185,01031402000000000,01,03,14,02,00,00,000,00,Cabrera
3592,01031403000000000,01,03,14,03,00,00,000,00,"El Factor"
3674,01031404000000000,01,03,14,04,00,00,000,00,"Río San Juan"
4195,01041501000000000,01,04,15,01,00,00,000,00,"Monte Crísti"
4263,01041502000000000,01,04,15,02,00,00,000,00,Castañuelas
4300,01041503000000000,01,04,15,03,00,00,000,00,Guayubín
4441,01041504000000000,01,04,15,04,00,00,000,00,"Las Matas de Santa Cruz"
4481,01041505000000000,01,04,15,05,00,00,000,00,"Pepillo Salcedo"
4523,01041506000000000,01,04,15,06,00,00,000,00,"Villa Vásquez"
15993,02061601000000000,02,06,16,01,00,00,000,00,Pedernales
16083,02061602000000000,02,06,16,02,00,00,000,00,Oviedo
14535,02051701000000000,02,05,17,01,00,00,000,00,Baní
10518,02051702000000000,02,05,17,02,00,00,000,00,Nizao
10592,02051703000000000,02,05,17,03,00,00,000,00,Matanzas
4881,01011801000000000,01,01,18,01,00,00,000,00,"Puerto Plata"
5227,01011802000000000,01,01,18,02,00,00,000,00,Altamira
5361,01011803000000000,01,01,18,03,00,00,000,00,Guananico
616,01011804000000000,01,01,18,04,00,00,000,00,Imbert
684,01011805000000000,01,01,18,05,00,00,000,00,"Los Hidalgos"
745,01011806000000000,01,01,18,06,00,00,000,00,Luperón
844,01011807000000000,01,01,18,07,00,00,000,00,Sosúa
929,01011808000000000,01,01,18,08,00,00,000,00,"Villa Isabela"
1027,01011809000000000,01,01,18,09,00,00,000,00,"Villa Montellano"
3753,01031901000000000,01,03,19,01,00,00,000,00,Salcedo
3915,01031902000000000,01,03,19,02,00,00,000,00,Tenares
4048,01031903000000000,01,03,19,03,00,00,000,00,"Villa Tapia"
4110,01032001000000000,01,03,20,01,00,00,000,00,Samaná
8443,01032002000000000,01,03,20,02,00,00,000,00,Sánchez
8541,01032003000000000,01,03,20,03,00,00,000,00,"Las Terrenas"
10631,02052101000000000,02,05,21,01,00,00,000,00,"San Cristóbal"
14762,02052102000000000,02,05,21,02,00,00,000,00,"Sabana Grande de Palenque"
14786,02052103000000000,02,05,21,03,00,00,000,00,"Bajos de Haina"
14903,02052104000000000,02,05,21,04,00,00,000,00,"Cambita Garabitos"
15045,02052105000000000,02,05,21,05,00,00,000,00,"Villa Altagracia"
10843,02052106000000000,02,05,21,06,00,00,000,00,Yaguate
10919,02052107000000000,02,05,21,07,00,00,000,00,"San Gregorio de Nigua"
10971,02052108000000000,02,05,21,08,00,00,000,00,"Los Cacaos"
12208,02072201000000000,02,07,22,01,00,00,000,00,"San Juan"
16513,02072202000000000,02,07,22,02,00,00,000,00,Bohechío
16589,02072203000000000,02,07,22,03,00,00,000,00,"El Cercado"
16723,02072204000000000,02,07,22,04,00,00,000,00,"Juan de Herrera"
16782,02072205000000000,02,07,22,05,00,00,000,00,"Las Matas de Farfán"
12606,02072206000000000,02,07,22,06,00,00,000,00,Vallejuelo
13519,03092301000000000,03,09,23,01,00,00,000,00,"San Pedro de Macorís"
17575,03092302000000000,03,09,23,02,00,00,000,00,"Los Llanos"
17731,03092303000000000,03,09,23,03,00,00,000,00,"Ramón Santana"
17789,03092304000000000,03,09,23,04,00,00,000,00,Consuelo
17881,03092305000000000,03,09,23,05,00,00,000,00,Quisqueya
17954,03092306000000000,03,09,23,06,00,00,000,00,Guayacanes
7049,01022401000000000,01,02,24,01,00,00,000,00,Cotuí
2596,01022402000000000,01,02,24,02,00,00,000,00,Cevicos
2691,01022403000000000,01,02,24,03,00,00,000,00,Fantino
2753,01022404000000000,01,02,24,04,00,00,000,00,"La Mata"
1085,01012501000000000,01,01,25,01,00,00,000,00,Santiago
1184,01012502000000000,01,01,25,02,00,00,000,00,Bisonó
1295,01012503000000000,01,01,25,03,00,00,000,00,Jánico
1503,01012504000000000,01,01,25,04,00,00,000,00,"Licey al Medio"
1581,01012505000000000,01,01,25,05,00,00,000,00,"San José de Las Matas"
6198,01012506000000000,01,01,25,06,00,00,000,00,Tamboril
6304,01012507000000000,01,01,25,07,00,00,000,00,"Villa González"
6398,01012508000000000,01,01,25,08,00,00,000,00,Puñal
6465,01012509000000000,01,01,25,09,00,00,000,00,"Sabana Iglesia "
6499,01012510000000000,01,01,25,10,00,00,000,00,Baitoa
4571,01042601000000000,01,04,26,01,00,00,000,00,"San Ignacio de Sabaneta"
8969,01042602000000000,01,04,26,02,00,00,000,00,"Villa Los Almácigos"
9053,01042603000000000,01,04,26,03,00,00,000,00,Monción
9124,01042701000000000,01,04,27,01,00,00,000,00,Mao
9673,01042702000000000,01,04,27,02,00,00,000,00,Esperanza
9843,01042703000000000,01,04,27,03,00,00,000,00,"Laguna Salada"
2890,01022801000000000,01,02,28,01,00,00,000,00,Bonao
7386,01022802000000000,01,02,28,02,00,00,000,00,Maimón
7433,01022803000000000,01,02,28,03,00,00,000,00,"Piedra Blanca"
17979,03092901000000000,03,09,29,01,00,00,000,00,"Monte Plata"
13777,03092902000000000,03,09,29,02,00,00,000,00,Bayaguana
13976,03092903000000000,03,09,29,03,00,00,000,00,"Sabana Grande de Boyá"
14159,03092904000000000,03,09,29,04,00,00,000,00,Yamasá
18193,03092905000000000,03,09,29,05,00,00,000,00,Peralvillo
18278,03093001000000000,03,09,30,01,00,00,000,00,"Hato Mayor"
19201,03093002000000000,03,09,30,02,00,00,000,00,"Sabana de La Mar"
19280,03093003000000000,03,09,30,03,00,00,000,00,"El Valle"
11031,02053101000000000,02,05,31,01,00,00,000,00,"San José de Ocoa"
11259,02053102000000000,02,05,31,02,00,00,000,00,"Sabana Larga"
15132,02053103000000000,02,05,31,03,00,00,000,00,"Rancho Arriba"
18409,03103201000000000,03,10,32,01,00,00,000,00,"Santo Domingo Este"
18720,03103202000000000,03,10,32,02,00,00,000,00,"Santo Domingo Oeste"
18834,03103203000000000,03,10,32,03,00,00,000,00,"Santo Domingo Norte"
19853,03103204000000000,03,10,32,04,00,00,000,00,"Boca Chica"
19928,03103205000000000,03,10,32,05,00,00,000,00,"San Antonio de Guerra"
20023,03103206000000000,03,10,32,06,00,00,000,00,"Los Alcarrizos"
18861,03103207000000000,03,10,32,07,00,00,000,00,"Pedro Brand"
