id,geo_code,macro_region,region,province,municipality,municipal_district,section,neighborhood,sub_neighborhood,name
19340,03100100000000000,03,10,01,00,00,00,000,00,"Distrito Nacional"
9947,02050200000000000,02,05,02,00,00,00,000,00,Azua
15200,02060300000000000,02,06,03,00,00,00,000,00,Baoruco
15602,02060400000000000,02,06,04,00,00,00,000,00,Barahona
8603,01040500000000000,01,04,05,00,00,00,000,00,Dajabón
7542,01030600000000000,01,03,06,00,00,00,000,00,Duarte
16133,02070700000000000,02,07,07,00,00,00,000,00,"Elías Piña"
12667,03080800000000000,03,08,08,00,00,00,000,00,"El Seibo"
3,01010900000000000,01,01,09,00,00,00,000,00,Espaillat
11907,02061000000000000,02,06,10,00,00,00,000,00,Independencia
16970,03081100000000000,03,08,11,00,00,00,000,00,"La Altagracia"
13213,03081200000000000,03,08,12,00,00,00,000,00,"La Romana"
1815,01021300000000000,01,02,13,00,00,00,000,00,"La Vega"
7919,01031400000000000,01,03,14,00,00,00,000,00,"María Trinidad Sánchez"
4194,01041500000000000,01,04,15,00,00,00,000,00,"Monte Crísti"
15992,02061600000000000,02,06,16,00,00,00,000,00,Pedernales
14534,02051700000000000,02,05,17,00,00,00,000,00,Peravia
4880,01011800000000000,01,01,18,00,00,00,000,00,"Puerto Plata"
3752,01031900000000000,01,03,19,00,00,00,000,00,"Hermanas Mirabal"
4109,01032000000000000,01,03,20,00,00,00,000,00,Samaná
10630,02052100000000000,02,05,21,00,00,00,000,00,"San Cristóbal"
12207,02072200000000000,02,07,22,00,00,00,000,00,"San Juan"
13518,03092300000000000,03,09,23,00,00,00,000,00,"San Pedro de Macorís"
7048,01022400000000000,01,02,24,00,00,00,000,00,"Sanchez Ramírez"
1084,01012500000000000,01,01,25,00,00,00,000,00,Santiago
4570,01042600000000000,01,04,26,00,00,00,000,00,"Santiago Rodríguez"
9123,01042700000000000,01,04,27,00,00,00,000,00,Valverde
2889,01022800000000000,01,02,28,00,00,00,000,00,"Monseñor Nouel"
17978,03092900000000000,03,09,29,00,00,00,000,00,"Monte Plata"
18277,03093000000000000,03,09,30,00,00,00,000,00,"Hato Mayor"
11030,02053100000000000,02,05,31,00,00,00,000,00,"San José de Ocoa"
18408,03103200000000000,03,10,32,00,00,00,000,00,"Santo Domingo"
