id,geo_code,macro_region,region,province,municipality,municipal_district,section,neighborhood,sub_neighborhood,name
2,01010000000000000,01,01,00,00,00,00,000,00,"Cibao Norte"
1814,01020000000000000,01,02,00,00,00,00,000,00,"Cibao Sur"
7541,01030000000000000,01,03,00,00,00,00,000,00,"Cibao Nordeste"
8602,01040000000000000,01,04,00,00,00,00,000,00,"Cibao Noroeste"
9946,02050000000000000,02,05,00,00,00,00,000,00,Valdesia
15199,02060000000000000,02,06,00,00,00,00,000,00,Enriquillo
16132,02070000000000000,02,07,00,00,00,00,000,00,"El Valle"
12666,03080000000000000,03,08,00,00,00,00,000,00,Yuma
13517,03090000000000000,03,09,00,00,00,00,000,00,Higuamo
19339,03100000000000000,03,10,00,00,00,00,000,00,"Ozama o Metropolitana"
