id,geo_code,macro_region,region,province,municipality,municipal_district,section,neighborhood,sub_neighborhood,name
19345,03100101010100101,03,10,01,01,01,01,001,01,"Los Peralejos"
19346,03100101010100102,03,10,01,01,01,01,001,02,"Los Ángeles"
19347,03100101010100103,03,10,01,01,01,01,001,03,"Brisas del Norte"
19349,03100101010100201,03,10,01,01,01,01,002,01,"Palma Real"
19350,03100101010100202,03,10,01,01,01,01,002,02,"Los Girasoles I"
19351,03100101010100203,03,10,01,01,01,01,002,03,"Los Girasoles II"
19352,03100101010100204,03,10,01,01,01,01,002,04,"Los Girasoles III"
19353,03100101010100205,03,10,01,01,01,01,002,05,"Colinas de Arroyo Hondo"
19354,03100101010100206,03,10,01,01,01,01,002,06,"Don Panchito"
19355,03100101010100207,03,10,01,01,01,01,002,07,"Villa María"
19356,03100101010100208,03,10,01,01,01,01,002,08,Fundación
19358,03100101010100301,03,10,01,01,01,01,003,01,"Arroyo Manzano"
19359,03100101010100302,03,10,01,01,01,01,003,02,"La Meseta"
19360,03100101010100303,03,10,01,01,01,01,003,03,"Villa Progreso"
19361,03100101010100304,03,10,01,01,01,01,003,04,"Cuesta Brava"
19362,03100101010100305,03,10,01,01,01,01,003,05,"Urbanización Arroyo Manzano"
19363,03100101010100306,03,10,01,01,01,01,003,06,"Buena Vista"
19364,03100101010100307,03,10,01,01,01,01,003,07,"Puerta de Hierro"
19365,03100101010100308,03,10,01,01,01,01,003,08,"Madre Vieja"
19366,03100101010100309,03,10,01,01,01,01,003,09,"Residencial Colina Bella"
19367,03100101010100310,03,10,01,01,01,01,003,10,"Residencial Irene"
19368,03100101010100311,03,10,01,01,01,01,003,11,"Residencial San Francisco de Asís"
19370,03100101010100401,03,10,01,01,01,01,004,01,"Altos de Arroyo Hondo"
19371,03100101010100402,03,10,01,01,01,01,004,02,"Ciudad Real"
19372,03100101010100403,03,10,01,01,01,01,004,03,"Carmen María"
19373,03100101010100404,03,10,01,01,01,01,004,04,"Reparto Miguelina"
19374,03100101010100405,03,10,01,01,01,01,004,05,"Villa Claudia"
19375,03100101010100406,03,10,01,01,01,01,004,06,"Villa Isabel"
19376,03100101010100407,03,10,01,01,01,01,004,07,"Villa Amanda"
19377,03100101010100408,03,10,01,01,01,01,004,08,"La Ceiba"
19378,03100101010100409,03,10,01,01,01,01,004,09,"Kilómetro XI"
19379,03100101010100410,03,10,01,01,01,01,004,10,"Residencial Condado"
19380,03100101010100411,03,10,01,01,01,01,004,11,"Don Honorio"
19381,03100101010100412,03,10,01,01,01,01,004,12,"Pinos Norte"
19382,03100101010100413,03,10,01,01,01,01,004,13,"Los Guayuyos"
19383,03100101010100414,03,10,01,01,01,01,004,14,"El Ducado"
19384,03100101010100415,03,10,01,01,01,01,004,15,"Las Colinas del Seminario I"
19385,03100101010100416,03,10,01,01,01,01,004,16,"Las Ochocientas"
19386,03100101010100417,03,10,01,01,01,01,004,17,"Mirador de Girasoles"
19387,03100101010100418,03,10,01,01,01,01,004,18,"Residencial Madelaine"
19388,03100101010100419,03,10,01,01,01,01,004,19,"Residencial Nueva Terraza"
19389,03100101010100420,03,10,01,01,01,01,004,20,"Residencial Amapola"
19390,03100101010100421,03,10,01,01,01,01,004,21,"Ciudad Real II"
19392,03100101010100501,03,10,01,01,01,01,005,01,"Los Ríos"
19393,03100101010100502,03,10,01,01,01,01,005,02,"Colinas de Los Ríos"
19394,03100101010100503,03,10,01,01,01,01,005,03,"Residencial Colinas del Seminario"
19395,03100101010100504,03,10,01,01,01,01,005,04,"Pradera Hermosa"
19396,03100101010100505,03,10,01,01,01,01,005,05,"Residencial Yuca de Los Ríos"
19397,03100101010100506,03,10,01,01,01,01,005,06,"El Caliche"
19398,03100101010100507,03,10,01,01,01,01,005,07,"Los Pinos"
19399,03100101010100508,03,10,01,01,01,01,005,08,"Villa Marina"
19400,03100101010100509,03,10,01,01,01,01,005,09,Esperanza
19402,03100101010100601,03,10,01,01,01,01,006,01,"Puerto  Isabela"
19403,03100101010100602,03,10,01,01,01,01,006,02,"La Goya"
19405,03100101010100701,03,10,01,01,01,01,007,01,"Honduras del Oeste"
19406,03100101010100702,03,10,01,01,01,01,007,02,Aesa
19407,03100101010100703,03,10,01,01,01,01,007,03,"Luz Consuelo Sur"
19408,03100101010100704,03,10,01,01,01,01,007,04,Atlántida
19409,03100101010100705,03,10,01,01,01,01,007,05,"16 de Agosto"
19410,03100101010100706,03,10,01,01,01,01,007,06,"Los Olmos"
19411,03100101010100707,03,10,01,01,01,01,007,07,"INVI Sur"
19413,03100101010100801,03,10,01,01,01,01,008,01,"Honduras del Norte"
19414,03100101010100802,03,10,01,01,01,01,008,02,"Sandra I"
19415,03100101010100803,03,10,01,01,01,01,008,03,"Sandra II"
19416,03100101010100804,03,10,01,01,01,01,008,04,"Luz Consuelo Norte"
19417,03100101010100805,03,10,01,01,01,01,008,05,"Proyecto José Contreras"
19418,03100101010100806,03,10,01,01,01,01,008,06,Gacela
19420,03100101010100901,03,10,01,01,01,01,009,01,"Paseo de Los Indios o Parque Mirador Sur"
19421,03100101010100902,03,10,01,01,01,01,009,02,"Manresa o Altagracia"
19423,03100101010101001,03,10,01,01,01,01,010,01,"Los Cacicazgos"
19425,03100101010101101,03,10,01,01,01,01,011,01,Renacimiento
19426,03100101010101102,03,10,01,01,01,01,011,02,"Urbanización Real"
19428,03100101010101201,03,10,01,01,01,01,012,01,"Los Restauradores"
19429,03100101010101202,03,10,01,01,01,01,012,02,"Residencial Rosmil"
19430,03100101010101203,03,10,01,01,01,01,012,03,Manganagua
19431,03100101010101204,03,10,01,01,01,01,012,04,Milloncito
19433,03100101010101301,03,10,01,01,01,01,013,01,"San Jerónimo"
19434,03100101010101302,03,10,01,01,01,01,013,02,"Estancia Nueva"
19435,03100101010101303,03,10,01,01,01,01,013,03,"Ciudad Moderna"
19436,03100101010101304,03,10,01,01,01,01,013,04,"Los Pinos"
19437,03100101010101305,03,10,01,01,01,01,013,05,"Las Praderas"
19438,03100101010101306,03,10,01,01,01,01,013,06,"Los Laureles"
19440,03100101010101401,03,10,01,01,01,01,014,01,"Los Jardines"
19441,03100101010101402,03,10,01,01,01,01,014,02,"Los Próceres"
19442,03100101010101403,03,10,01,01,01,01,014,03,Galá
19443,03100101010101404,03,10,01,01,01,01,014,04,Constelación
19444,03100101010101405,03,10,01,01,01,01,014,05,"Country Club"
19445,03100101010101406,03,10,01,01,01,01,014,06,"La Yagüita"
19447,03100101010101501,03,10,01,01,01,01,015,01,"Jardín Botánico"
19449,03100101010101601,03,10,01,01,01,01,016,01,"Nuevo Arroyo Hondo"
19450,03100101010101602,03,10,01,01,01,01,016,02,"Perantuén  "
19451,03100101010101603,03,10,01,01,01,01,016,03,"Nuevo Arroyo Hondo III"
19452,03100101010101604,03,10,01,01,01,01,016,04,"Los Ramírez"
19453,03100101010101605,03,10,01,01,01,01,016,05,"Los Galíndez"
19454,03100101010101606,03,10,01,01,01,01,016,06,Cuba
19455,03100101010101607,03,10,01,01,01,01,016,07,"Cuesta Hermosa I"
19456,03100101010101608,03,10,01,01,01,01,016,08,"Lomas de Arroyo Hondo"
19457,03100101010101609,03,10,01,01,01,01,016,09,"La Puya"
19458,03100101010101610,03,10,01,01,01,01,016,10,Azul
19459,03100101010101611,03,10,01,01,01,01,016,11,"Colinas de Arroyo Hondo"
19460,03100101010101612,03,10,01,01,01,01,016,12,"Residencial Karla"
19461,03100101010101613,03,10,01,01,01,01,016,13,"El Aguacate"
19462,03100101010101614,03,10,01,01,01,01,016,14,"Altos de Arroyo Hondo II"
19463,03100101010101615,03,10,01,01,01,01,016,15,"Residencial Sebastián III"
19464,03100101010101616,03,10,01,01,01,01,016,16,"Residencial Milenium V-IX"
19465,03100101010101617,03,10,01,01,01,01,016,17,"Residencial Sebastián"
19466,03100101010101618,03,10,01,01,01,01,016,18,"Residencial La Rama"
19467,03100101010101619,03,10,01,01,01,01,016,19,"Residencial QD"
19468,03100101010101620,03,10,01,01,01,01,016,20,"Residencial Riveras del Arroyo"
19470,03100101010101701,03,10,01,01,01,01,017,01,"Cerros de Arroyo Hondo"
19471,03100101010101702,03,10,01,01,01,01,017,02,"Cuesta Hermosa III"
19472,03100101010101703,03,10,01,01,01,01,017,03,"Los Totumos"
19473,03100101010101704,03,10,01,01,01,01,017,04,"Isabel Vilas"
19474,03100101010101705,03,10,01,01,01,01,017,05,"Cuesta Hermosa II"
19476,03100101010101801,03,10,01,01,01,01,018,01,"Viejo Arroyo Hondo"
19477,03100101010101802,03,10,01,01,01,01,018,02,"San Rafael"
19478,03100101010101803,03,10,01,01,01,01,018,03,"Puerto Rico"
19479,03100101010101804,03,10,01,01,01,01,018,04,"El Pino"
19480,03100101010101805,03,10,01,01,01,01,018,05,"El Cerro"
19482,03100101010101901,03,10,01,01,01,01,019,01,Paraíso
19483,03100101010101902,03,10,01,01,01,01,019,02,"Los Platanitos"
19484,03100101010101903,03,10,01,01,01,01,019,03,Churchill
19486,03100101010102001,03,10,01,01,01,01,020,01,"Julieta Morales"
19487,03100101010102002,03,10,01,01,01,01,020,02,"Los Praditos"
19488,03100101010102003,03,10,01,01,01,01,020,03,"La Jabilla"
19489,03100101010102004,03,10,01,01,01,01,020,04,"La Carmelita"
19490,03100101010102005,03,10,01,01,01,01,020,05,"Urbanización Fernández"
19492,03100101010102101,03,10,01,01,01,01,021,01,"Los Prados"
19493,03100101010102102,03,10,01,01,01,01,021,02,"La Castellana"
19495,03100101010102201,03,10,01,01,01,01,022,01,"El Millón"
19497,03100101010102301,03,10,01,01,01,01,023,01,"Mirador Norte"
19499,03100101010102401,03,10,01,01,01,01,024,01,"Mirador Sur"
19500,03100101010102402,03,10,01,01,01,01,024,02,"Los Maestros"
19502,03100101010102501,03,10,01,01,01,01,025,01,"Buenos Aires Mirador"
