id,geo_code,macro_region,region,province,municipality,municipal_district,section,neighborhood,sub_neighborhood,name
1,01000000000000000,01,00,00,00,00,00,000,00,Norte
2,01010000000000000,01,01,00,00,00,00,000,00,"Cibao Norte"
3,01010900000000000,01,01,09,00,00,00,000,00,Espaillat
4,01010901000000000,01,01,09,01,00,00,000,00,Moca
5,01010901010000000,01,01,09,01,01,00,000,00,Moca
6,01010901010100000,01,01,09,01,01,01,000,00,"Moca (Zona urbana)"
7,01010901010100100,01,01,09,01,01,01,001,00,"Nuevo Puerto Rico"
8,01010901010100101,01,01,09,01,01,01,001,01,"Nuevo Puerto Rico"
9,01010901010100102,01,01,09,01,01,01,001,02,"Marién García"
10,01010901010100103,01,01,09,01,01,01,001,03,"Residencial Michell"
11,01010901010100104,01,01,09,01,01,01,001,04,"Residencial Irka"
12,01010901010100105,01,01,09,01,01,01,001,05,"Residencial Boca de Moca"
13,01010901010100200,01,01,09,01,01,01,002,00,"José Horacio Rodríguez"
14,01010901010100201,01,01,09,01,01,01,002,01,"José Horacio Rodríguez"
15,01010901010100300,01,01,09,01,01,01,003,00,"El Muerto Borracho Cervantes"
16,01010901010100301,01,01,09,01,01,01,003,01,"El Muerto Borracho Cervantes"
17,01010901010100302,01,01,09,01,01,01,003,02,"Villa Bachola"
18,01010901010100400,01,01,09,01,01,01,004,00,"Puerto Rico Viejo"
19,01010901010100401,01,01,09,01,01,01,004,01,"Puerto Rico Viejo"
20,01010901010100402,01,01,09,01,01,01,004,02,"Lotificación Victoriana"
21,01010901010100500,01,01,09,01,01,01,005,00,"Juan Lopito"
22,01010901010100501,01,01,09,01,01,01,005,01,"Juan Lopito"
23,01010901010100600,01,01,09,01,01,01,006,00,"Los Cáceres"
24,01010901010100601,01,01,09,01,01,01,006,01,"Los Cáceres"
25,01010901010100602,01,01,09,01,01,01,006,02,"Habitación los Cáceres"
26,01010901010100700,01,01,09,01,01,01,007,00,Militar
27,01010901010100701,01,01,09,01,01,01,007,01,Militar
28,01010901010100702,01,01,09,01,01,01,007,02,"Fortaleza 2 de Mayo"
29,01010901010100800,01,01,09,01,01,01,008,00,"Centro de La Ciudad"
30,01010901010100801,01,01,09,01,01,01,008,01,"Centro de la Ciudad"
31,01010901010100900,01,01,09,01,01,01,009,00,Guachupita
32,01010901010100901,01,01,09,01,01,01,009,01,Guachupita
33,01010901010100902,01,01,09,01,01,01,009,02,"Los Mangos"
34,01010901010100903,01,01,09,01,01,01,009,03,"Centro de la Ciudad"
35,01010901010101000,01,01,09,01,01,01,010,00,"Urbanización Estela"
36,01010901010101001,01,01,09,01,01,01,010,01,"Urbanización Estela"
37,01010901010101100,01,01,09,01,01,01,011,00,"Sal si Puedes"
38,01010901010101101,01,01,09,01,01,01,011,01,"Sal si Puedes"
39,01010901010101102,01,01,09,01,01,01,011,02,"Hoyo de Meregildo"
40,01010901010101200,01,01,09,01,01,01,012,00,Guaucí
